Date,High,Low,Open,Close,Volume,Marketcap
2015-02-26,1.2123199701,1.1947100163,1.2104200125,1.205739975,5.9554600716,303364.184
2015-03-02,0.6078900099,0.5683140159,0.5712490082,0.6065019965,3.0325000286,152595.9032
2015-03-03,0.6062290072000001,0.6044160128,0.6051290035,0.6062290072000001,3.0311300755,152527.2164
2015-03-06,1.0,1.0,1.0,1.0,92.6472015381,251600.0
2015-03-07,1.0,1.0,1.0,1.0,58196.80078125,251600.0
2015-03-08,1.0,1.0,1.0,1.0,31.1394004822,251600.0
2015-03-09,1.0,1.0,1.0,1.0,142.9969940186,251600.0
2015-03-10,1.0,1.0,1.0,1.0,49996.69921875,251600.0
2015-03-11,1.0,1.0,1.0,1.0,49.3106994629,251600.0
2015-03-12,1.0,1.0,1.0,1.0,80418.296875,251600.0
2015-03-13,1.0,1.0,1.0,1.0,75.2757034302,251600.0
2015-03-14,1.0,1.0,1.0,1.0,17705.099609375,251600.0
2015-03-15,1.0,1.0,1.0,1.0,15124.5,251600.0
2015-03-16,1.0,1.0,1.0,1.0,49631.5,251600.0
2015-03-17,1.0,1.0,1.0,1.0,4284.0200195312,251600.0
2015-03-18,1.0,1.0,1.0,1.0,202.3430023193,251600.0
2015-03-19,1.0,1.0,1.0,1.0,713.9470214844,251600.0
2015-03-20,1.0,1.0,1.0,1.0,132.7270050049,251600.0
2015-03-21,1.0,1.0,1.0,1.0,206.2680053711,251600.0
2015-03-22,1.0,1.0,1.0,1.0,66.6825027466,251600.0
2015-03-23,1.0,1.0,1.0,1.0,65.8382034302,251600.0
2015-03-24,1.0,1.0,1.0,1.0,1179.4399414062,251600.0
2015-03-25,1.0,1.0,1.0,1.0,92.3522033691,251600.0
2015-03-26,1.0,1.0,1.0,1.0,2.3080999851,251600.0
2015-03-27,1.0,1.0,1.0,1.0,4.7949299812,251600.0
2015-03-28,1.0,1.0,1.0,1.0,17.0440006256,251600.0
2015-03-29,1.0,1.0,1.0,1.0,20.6376991272,251600.0
2015-03-30,1.0,1.0,1.0,1.0,494.7019958496,251600.0
2015-03-31,1.0,1.0,1.0,1.0,37.0521011353,251600.0
2015-04-01,1.0,1.0,1.0,1.0,14.4870004654,251600.0
2015-04-02,1.0,1.0,1.0,1.0,79969.8984375,251600.0
2015-04-03,1.0,1.0,1.0,1.0,8887.169921875,251600.0
2015-04-04,1.0,1.0,1.0,1.0,2018.25,251600.0
2015-04-05,1.0,1.0,1.0,1.0,2887.0500488281,251600.0
2015-04-06,1.0,1.0,1.0,1.0,254.3000030518,251600.0
2015-04-07,1.0,1.0,1.0,1.0,19179.0,251600.0
2015-04-08,1.0,1.0,1.0,1.0,1024.1999511719,251600.0
2015-04-09,1.0,1.0,1.0,1.0,100949.0,251600.0
2015-04-10,1.0,1.0,1.0,1.0,470.2340087891,251600.0
2015-04-11,1.0,1.0,1.0,1.0,2868.8000488281,251600.0
2015-04-12,1.0,1.0,1.0,1.0,1970.7900390625,251600.0
2015-04-13,1.0,1.0,1.0,1.0,46026.0,251600.0
2015-04-14,1.0,1.0,1.0,1.0,50323.80078125,251600.0
2015-04-15,1.0,1.0,1.0,1.0,40700.19921875,251600.0
2015-04-16,1.0,1.0,1.0,1.0,46909.19921875,251600.0
2015-04-17,1.0,1.0,1.0,1.0,50.4816017151,251600.0
2015-04-18,1.0,1.0,1.0,1.0,48.9730987549,251600.0
2015-04-19,1.0,1.0,1.0,1.0,21.926399231,251600.0
2015-04-20,1.0,1.0,1.0,1.0,38.263999939,251600.0
2015-04-21,1.0,1.0,1.0,1.0,85932.703125,251600.0
2015-04-22,1.0,1.0,1.0,1.0,40305.6015625,251600.0
2015-04-23,1.0,1.0,1.0,1.0,21632.0,251600.0
2015-04-24,1.0,1.0,1.0,1.0,20261.80078125,251600.0
2015-04-25,1.0,1.0,1.0,1.0,26.4622993469,251600.0
2015-04-26,1.0,1.0,1.0,1.0,555.4370117188,251600.0
2015-04-27,1.0,1.0,1.0,1.0,17806.19921875,251600.0
2015-04-28,1.0,1.0,1.0,1.0,42628.1015625,251600.0
2015-04-29,1.0,1.0,1.0,1.0,12.1863002777,251600.0
2015-04-30,1.0,1.0,1.0,1.0,613.0689697266,251600.0
2015-05-01,1.0,1.0,1.0,1.0,48.379699707,251600.0
2015-05-02,1.0,1.0,1.0,1.0,3.9934899807,251600.0
2015-05-03,1.0,1.0,1.0,1.0,1517.8699951172,251600.0
2015-05-04,1.0,1.0,1.0,1.0,83170.796875,251600.0
